schedule_date,schedule_season,schedule_week,team_home,team_away,stadium,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,game_id,,,,,
10/23/1966,1966,7,GB,ATL,Lambeau Field,,,,46 degrees-  humidity 43%- wind 14 mph,46,14,43,56,3,FALSE,FALSE,19661023ATLGB,,,,,
10/23/1966,1966,8,TEN,MIA,Rice Stadium,,,,,,,,13,20,FALSE,FALSE,19661023MIATEN,,,,,
10/23/1966,1966,8,NE,LAC,Alumni Stadium,,,,,,,,35,17,FALSE,FALSE,19661023LACNE,,,,,
10/23/1966,1966,7,NYG,PHI,Yankee Stadium,,,,59 degrees-  humidity 78%- wind 10 mph,59,10,78,3,31,FALSE,FALSE,19661023PHINYG,,,,,
10/23/1966,1966,8,NYJ,OAK,Shea Stadium,,,,,,,,21,24,FALSE,FALSE,19661023OAKNYJ,,,,,
10/23/1966,1966,7,SF,DET,Kezar Stadium,,,,60 degrees-  humidity 72%- wind 9 mph,60,9,72,27,24,FALSE,FALSE,19661023DETSF,,,,,
10/23/1966,1966,7,WAS,ARI,RFK Memorial Stadium,,,,58 degrees-  humidity 83%- wind 6 mph,58,6,83,26,20,FALSE,FALSE,19661023ARIWAS,,,,,
10/30/1966,1966,8,ATL,CLE,Atlanta-Fulton County Stadium,,,,58 degrees-  humidity 62%- wind 10 mph,58,10,62,17,49,FALSE,FALSE,19661030CLEATL,,,,,
10/30/1966,1966,8,DAL,PIT,Cotton Bowl,,,,64 degrees-  humidity 58%- wind 6 mph,64,6,58,52,21,FALSE,FALSE,19661030PITDAL,,,,,
10/30/1966,1966,8,DET,GB,Tiger Stadium,,,,37 degrees-  humidity 59%- wind 9 mph- wind chill 30,37,9,59,7,31,FALSE,FALSE,19661030GBDET,,,,,
10/30/1966,1966,9,KC,TEN,Kansas City Municipal Stadium,,,,,,,,48,23,FALSE,FALSE,19661030TENKC,,,,,
